assessmentItemID,keyword
advanced4737,"['독립', '유공자', '명', '패', '부착', '행사', '해외', '처음', '영국', '베델', '손녀', '집', '내용', '베델', '양기탁', '을', '창간', '항일', '언론', '활동', '전개', '내용', '영국', '언론인', '어니스트 베델', '우', '강', '양기탁', '창간', '신문', '대한매일신보', '이다', '대한매일신보', '항일', '논조', '바', '고종', '무효', '선언', '게재']"
advanced4738,"['도산', '기념관', '말', '대화', '창', '신민회', '결성', '주도', '말', '서', '북', '학회', '조직', '말', '흥사단', '창설', '말', '차례', '제시', '인물', '도산', '안창호', '수', '안창호', '비밀결사', '단체', '신민회', '결성', '서북', '관서', '해서', '지역', '출신', '서북', '학회', '조직', '프란스', '시코', '흥사단', '창설', '주도', '관여', '년', '9월', '평양', '대성', '학교', '설립', '민족', '교육', '실시']"
advanced4739,"['탐구', '내용', '농장', '노동', '조건', '독립군', '양성', '학교', '설립', '성금', '모금', '독립운동', '지원', '제시', '농장', '20세기', '초', '멕시코', '이주한', '한인', '일', '유카탄', '지역', '에', '재배', '농장', '멕시코', '이주', '한인', '절반', '이상', '노동', '당시', '멕시코', '한인', '상징', '참고', '에', '용설란', '식물', '멕시코', '중앙', '아메리카', '북서부', '포함', '메소아메리카', '지역', '원산지', '학교', '멕시코', '이주', '한인', '유카탄', '메리다', '지역', '설립', '독립군', '양성', '학교', '년', '11월', '지역', '회', '회장', '이근영', '주도', '명', '한인', '청년', '모아', '사관', '양성']"
advanced4740,"['말풍선', '동상', '박재혁', '의사', '년', '의거', '기념', '것', '이다', '내용', '김원봉', '윤세주', '등', '만주', '지린', '창설', '가입', '후', '고서', '위장', '부산', '경찰서', '폭탄', '내용', '말풍선', '속', '단체', '년', '11월', '창설', '의열단', '임', '수', '의열단', '원', '박재혁', '년', '9월', '부산', '경찰서', '폭탄', '투척', '척', '의거', '의열단', '단재', '신채호', '집필', '한', '조선', '혁명', '선언', '활동', '지침']"
advanced4741,"['오늘', '종로', '사거리', '길', '동기', '진술', '질문', '오후', '시', '무렵', '경성부', '남대문로', '자동차', '독립', '선언서', '습득', '내용', '선언서', '내용', '진술', '질문', '조선', '독립국', '조선인', '자주', '민이', '것', '선언', '등', '내용', '조선', '민족', '대표자', '인', '성명', '기재', '내용', '제시', '자료', '년', '3·1 운동', '임', '수', '3·1 운동', '결과', '년', '9월', '통합', '대한민국 임시 정부', '수립', '대한민국 임시 정부', '동년', '4월 11일', '수립']"
advanced4742,"['동무', '제목', '해', '해', '내용', '어른', '물론', '존대', '입', '몸', '바르게', '등', '내용', '마지막', '1923년', '5월 1일', '어린이날', '기념', '선언문', '문구', '제시', '자료', '1920년대', '천도교', '소년회', '추진', '소년', '운동', '관련', '것', '수', '천도교', '소년회', '방정환', '주도', '김', '기전', '이정호', '등', '년', '5월', '발족', '수', '소년', '운동', '천도교', '세력', '중심', '추진']"
advanced4743,"['국민', '총력', '조선', '연맹', '발생', '애국', '반', '회보', '설린', '것', '이다', '내용', '일제', '중일 전쟁', '이후', '침략 전쟁', '확대', '시기', '사회', '통제', '모습', '내용', '그림', '문구', '여행', '때', '각반', '몸뻬', '출정', '군인', '유가족', '힘', '내용', '참고', '각반', '이란', '걸음', '때', '발목', '부분', '하', '게', '발목', '무릎', '아래', '띠', '말', '행전', '말', '순화', '조선', '총독부', '국민', '총력', '조선', '연맹', '것', '년', '월', '제시', '시기', '일제 강점기', '말', '해당', '조선', '사상범', '예방', '금령', '공포', '것', '년', '2월', '일']"
advanced4744,"['국립현충원', '애국지사', '묘역', '양세봉', '묘', '내용', '남만주', '일대', '조직', '사령', '중국', '의용군', '항일', '투쟁', '전개', '내용', '제시', '조선', '혁명', '소속', '조선', '혁명군', '수', '조선', '혁명군', '1930년대', '초', '영릉', '가', '흥경', '등지', '일', '만', '엽', '합', '군', '격퇴']"
advanced4745,"['한국', '국민당', '조선', '혁명', '한국', '독립당', '당', '해소', '한국', '독립당', '창립', '내용', '당', '조직', '최대', '이유', '원래', '당의', '당', '강', '당', '책', '독립운동', '의식', '역사', '혁명', '노선', '당', '서로', '당', '만', '통일', '충족', '내포', '것', '내용', '1930년대', '중국', '관내', '민족', '연합', '전선', '실패', '후', '이', '관련', '좌우', '세력', '이합집산', '사실', '있다', '민족', '진영', '당의', '통합', '한국', '독립당', '창당', '것', '년', '5월', '일', '참고', '한국', '독립당', '처음', '창당', '것', '년', '월', '삼균주의', '입각', '대한민국', '건국', '강령', '발표', '것', '년', '11월', '일']"
advanced4746,"['당시', '정부', '달러', '수출', '달성', '축하', '광화문', '사거리', '설치', '조형물', '이다', '내용', '10억', '달러', '수출', '달성', '지', '년', '만', '달러', '수출', '경제', '성장', '상징', '내용', '우리나라', '달러', '수출', '달성', '것', '박정희 정부', '시기', '1977년', '일', '박정희 정부', '무역', '여성', '노동자', '신민당사', '농성', '강경', '진압', '것', '년', '8월', '일']"
advanced4747,"['모스크바', '삼상', '회의', '결정', '미소', '공동', '위원회', '처음', '구성', '것', '년', '3월', '일', '이다', '서울', '덕수궁', '조전', '미소', '공동', '위원회', '개최', '5월 9일', '회의', '진행', '결렬', '차', '미소', '공동', '위원회', '임', '차', '미소', '공동', '위원회', '결렬', '이듬해', '년', '5월', '미소', '공동', '위원회', '차', '미소', '공동', '난관', '봉착', '미국', '측', '조선', '독립', '통일', '문제', '유엔 총회', '이관', '것', '년', '9월', '일', '이다', '동년', '11월 14일', '유엔 총회', '남북', '총선거', '실시', '안이', '가결', '제시', '자료', '속', '미소', '공동', '위원회', '미소', '공동', '위원회', '임시', '민주', '정부', '수립', '협의', '참여', '단체', '범위', '논쟁', '문제', '의견', '대립', '해소', '최종', '결렬']"
advanced4748,"['모스크바', '삼상', '회의', '결정', '미소', '공동', '위원회', '처음', '구성', '것', '년', '3월', '일', '이다', '차', '미소', '공동', '위원회', '개최', '번', '차', '미소', '공동', '위원회', '난관', '봉착', '미국', '측', '조선', '독립', '통일', '문제', '유엔 총회', '이관', '것', '년', '9월', '일', '이다', '동년', '11월 14일', '유엔 총회', '남북', '총선거', '실시', '안이', '가결', '여운형', '김규식', '등', '중도파', '주도', '한', '좌우', '합작', '위원회', '좌우', '합작', '원칙', '발표', '것', '년', '10월 7일', '일', '이다', '좌우', '합작', '위원회', '구성', '것', '년', '7월']"
advanced4749,"['왼쪽', '말풍선', '이번', '총선', '김대중', '김영삼', '신한', '민주당', '돌풍', '야당', '급부상', '내용', '오른쪽', '말풍선', '여당', '민주', '정의당', '정부', '권위주의', '통치', '반발', '민주화', '요구', '시민', '열망', '표출', '것', '내용', '신민당', '민주화', '추진', '협의회', '민', '소속', '인사', '중심', '신한', '민주당', '이하', '신민당', '창당', '것', '년', '월', '달', '뒤', '대', '국회', '의원', '선거', '야당', '급부상', '이전', '야당', '민주한국당', '민', '한당', '야당', '신민당', '이후', '직선', '개헌', '대', '국회', '의제', '설정', '동년', '1985년', '12월', '민주', '개헌', '명', '서명', '운동', '결정', '개헌', '운동', '참고', '박정희 정부', '시기', '년', '12월', '장준하', '함석헌', '계훈제', '백기완', '등', '각계', '재야', '민주', '인사', '주도', '유신', '헌법', '개헌', '청원', '서명', '운동', '전개', '바']"
advanced4750,"['국토', '균형', '발전', '일환', '행정', '중심', '복합', '도시', '추진', '정책', '국민', '보건', '증진', '질병', '관리', '본부', '설치', '내용', '과거사', '정리', '일환', '진실', '화해', '과거사', '정리', '위원회', '구성', '사실', '제시', '자료', '추진', '정부', '노무현 정부', '임', '수', '노무현 정부', '평화', '통일', '노력', '중', '대표', '것', '정부', '말기', '2007년 10월', '남북', '정상', '선언', '수', '기존', '국립보건원', '질병', '관리', '본부', '확대', '개편', '출범', '것', '2004년 1월', '진실', '화해', '과거사', '정리', '위원회', '구성', '것', '2005년 12월', '일', '행정', '중심', '복합', '도시', '추진', '원래', '노무현', '대통령', '대선', '공약', '제시', '신행', '정수', '건설', '2004년 10월', '헌법재판소', '위헌', '결정', '중단', '변경', '것', '이다', '신행', '정수', '건설', '대통령', '소속', '기관', '발족', '신행', '정', '수도', '건설', '추진', '위원회', '행정중심복합도시', '건설', '추진', '위원회', '명칭', '변경']"
